Subject,Image,NSED,SLJ
Sub124,NL16,Low,0
Sub124,NL17,Low,0
Sub124,NL18,Low,0
Sub124,NL19,Low,0
Sub124,NL20,Low,0
Sub124,NH01,High,0
Sub124,NH02,High,0
Sub124,NH03,High,0
Sub124,NH04,High,0
Sub124,NH05,High,0
Sub124,NH06,High,0
Sub124,NH07,High,1
Sub124,NH08,High,0
Sub124,NH09,High,0
Sub124,NH10,High,0
Sub124,NH11,High,0
Sub124,NH12,High,0
Sub124,NH13,High,0
Sub124,NH14,High,0
Sub124,NH15,High,0
Sub124,NH16,High,0
Sub124,NH17,High,0
Sub124,NH18,High,0
Sub124,NH19,High,0
Sub124,NH20,High,0
Sub125,NL01,Low,0
Sub125,NL02,Low,0
Sub125,NL03,Low,0
Sub125,NL04,Low,0
Sub125,NL05,Low,0
Sub125,NL06,Low,0
Sub125,NL07,Low,0
Sub125,NL08,Low,1
Sub125,NL09,Low,0
Sub125,NL10,Low,0
Sub125,NL11,Low,0
Sub125,NL12,Low,0
Sub125,NL13,Low,0
Sub125,NL14,Low,1
Sub125,NL15,Low,0
Sub125,NL16,Low,0
Sub125,NL17,Low,1
Sub125,NL18,Low,0
Sub125,NL19,Low,0
Sub125,NL20,Low,0
Sub125,NH01,High,0
Sub125,NH02,High,0
Sub125,NH03,High,0
Sub125,NH04,High,0
Sub125,NH05,High,0
Sub125,NH06,High,0
Sub125,NH07,High,0
Sub125,NH08,High,1
Sub125,NH09,High,0
Sub125,NH10,High,0
Sub125,NH11,High,1
Sub125,NH12,High,0
Sub125,NH13,High,0
Sub125,NH14,High,0
Sub125,NH15,High,1
Sub125,NH16,High,0
Sub125,NH17,High,0
Sub125,NH18,High,0
Sub125,NH19,High,0
Sub125,NH20,High,1
Sub126,NL01,Low,0
Sub126,NL02,Low,0
Sub126,NL03,Low,0
Sub126,NL04,Low,0
Sub126,NL05,Low,0
Sub126,NL06,Low,0
Sub126,NL07,Low,0
Sub126,NL08,Low,0
Sub126,NL09,Low,0
Sub126,NL10,Low,0
Sub126,NL11,Low,0
Sub126,NL12,Low,0
Sub126,NL13,Low,0
Sub126,NL14,Low,0
Sub126,NL15,Low,0
Sub126,NL16,Low,1
Sub126,NL17,Low,1
Sub126,NL18,Low,0
Sub126,NL19,Low,0
Sub126,NL20,Low,0
Sub126,NH01,High,0
Sub126,NH02,High,1
Sub126,NH03,High,0
Sub126,NH04,High,0
Sub126,NH05,High,0
Sub126,NH06,High,0
Sub126,NH07,High,0
Sub126,NH08,High,0
Sub126,NH09,High,0
